globalseqno,time,source_type,transport,transcode,host,servicename
66ccccaa-f81a-4692-accf-6dbf377824d3,2017-08-05T07:36:40.560Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a17b6e86-4406-4cbf-874f-70f8a494f117,2017-08-05T09:03:51.752Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v31,com.pccc.pms.pub.servicecustom.
a17b6e86-4406-4cbf-874f-70f8a494f117,2017-08-05T09:03:51.572Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v31,com.pccc.pms.pub.servicecustom.
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.756Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.763Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7b85d0f-4b2b-4447-bf8d-a11d69834c3e,2017-08-05T05:21:05.542Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.404Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.423Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.494Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7b85d0f-4b2b-4447-bf8d-a11d69834c3e,2017-08-05T05:21:05.492Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7b85d0f-4b2b-4447-bf8d-a11d69834c3e,2017-08-05T05:21:05.536Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.649Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.625Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
418561d8-882b-4e6a-88fe-f7af217d6a90,2017-08-05T05:24:57.704Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
b278b7be-9052-4529-b70c-b3617e250681,2017-08-05T05:24:59.097Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
5c7ee2e3-cc2e-44ac-b482-35c5f09096ba,2017-08-05T05:25:00.525Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.661Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.678Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.696Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
b278b7be-9052-4529-b70c-b3617e250681,2017-08-05T05:24:59.091Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
